"state","state_name","species_code","common_name","scientific_name","percent_pop_breeding","percent_pop_postbreeding_migration","percent_pop_nonbreeding","percent_pop_prebreeding_migration","max_week_season","max_week","max_week_percent_pop","state_rank_breeding","breeding_habitat_primary","breeding_habitat_secondary"
"AL","Alabama","acafly","Acadian Flycatcher","Empidonax virescens",5.55,11.08,0,7.29,"postbreeding_migration","10-04",24.76,"9 of 32","Forests:  Temperate Eastern",NA
"AL","Alabama","ambduc","American Black Duck","Anas rubripes",0,0,0.01,0,"nonbreeding","12-20",0.03035,NA,"Wetlands:  Boreal","Coasts:  Saltmarsh"
"AL","Alabama","ameavo","American Avocet","Recurvirostra americana",0,0,0.02,0.01,"prebreeding_migration","02-15",0.04472,NA,"Wetlands:  Freshwater Marsh",NA
"AL","Alabama","amebit","American Bittern","Botaurus lentiginosus",0,0.02,0.04,0.01,"prebreeding_migration","04-05",0.235,NA,"Wetlands:  Freshwater Marsh",NA
"AL","Alabama","amecro","American Crow","Corvus brachyrhynchos",2.24,2,2.23,1.63,"prebreeding_migration","02-08",2.418,"10 of 49","Open Country:  Habitat Mosaic","Open Country:  Developed/Disturbed"
"AL","Alabama","amegfi","American Goldfinch","Spinus tristis",0.51,0.85,2.64,1.32,"nonbreeding","02-08",3.735,"35 of 45","Open Country:  Habitat Mosaic",NA
"AL","Alabama","amekes","American Kestrel","Falco sparverius",0.04,0.22,0.47,0.08,"nonbreeding","01-04",0.546,"34 of 44","Open Country:  Habitat Mosaic",NA
"AL","Alabama","ameoys","American Oystercatcher","Haematopus palliatus",0.14,0.09,0.1,0.11,"breeding","05-31",0.1909,"14 of 17","Coasts:  Beach and Estuary",NA
"AL","Alabama","amepip","American Pipit","Anthus rubescens",0,0.05,0.99,0.03,"nonbreeding","12-27",1.715,NA,"Tundra:  Alpine","Tundra:  Arctic"
"AL","Alabama","amered","American Redstart","Setophaga ruticilla",0.1,1.44,0,0.42,"postbreeding_migration","09-27",6.502,"27 of 36","Forests:  Temperate Generalist",NA
"AL","Alabama","amerob","American Robin","Turdus migratorius",0.13,0.72,3.03,1.05,"prebreeding_migration","02-08",4.64,"43 of 48","Forests:  Temperate Generalist",NA
"AL","Alabama","amewig","American Wigeon","Mareca americana",0,0.01,0.07,0.01,"prebreeding_migration","01-25",0.08586,NA,"Wetlands:  Seasonally Wet Grasslands","Wetlands:  Freshwater Marsh"
"AL","Alabama","amewoo","American Woodcock","Scolopax minor",0,0.44,10.3,0.8,"prebreeding_migration","02-08",18.56,NA,"Forests:  Temperate Eastern","Forests:  Boreal"
"AL","Alabama","amwpel","American White Pelican","Pelecanus erythrorhynchos",0.05,0.76,1.33,0.52,"postbreeding_migration","11-08",2.001,"27 of 32","Wetlands:  Lakes and Rivers",NA
"AL","Alabama","anhing","Anhinga","Anhinga anhinga",0.18,0.17,0.04,0.07,"breeding","06-28",0.3174,"9 of 10","Wetlands:  Generalist",NA
"AL","Alabama","babwar","Bay-breasted Warbler","Setophaga castanea",0,0.62,0,0.58,"prebreeding_migration","05-03",8.157,NA,"Forests:  Boreal",NA
"AL","Alabama","bacspa","Bachman's Sparrow","Peucaea aestivalis",3.39,3.39,3.39,3.39,"resident","year round resident",NA,"6 of 10","Forests:  Temperate Eastern",NA
"AL","Alabama","baleag","Bald Eagle","Haliaeetus leucocephalus",0.04,0.1,0.18,0.1,"nonbreeding","01-11",0.2256,"36 of 47","Wetlands:  Generalist","Coasts:  Beach and Estuary"
"AL","Alabama","balori","Baltimore Oriole","Icterus galbula",0,0.07,0,0.28,"prebreeding_migration","04-26",2.956,NA,"Forests:  Temperate Eastern",NA
"AL","Alabama","barswa","Barn Swallow","Hirundo rustica",0.17,0.02,0,0.04,"breeding","06-21",0.2001,"26 of 49","Open Country Aerial:  Habitat Mosaic",NA
"AL","Alabama","bawwar","Black-and-white Warbler","Mniotilta varia",0.51,1.34,0.07,1.21,"postbreeding_migration","10-04",3.86,"20 of 35","Forests:  Temperate Eastern","Forests:  Boreal"
