"species_code","scientific_name","common_name","resident","breeding_quality","breeding_range_modeled","breeding_start","breeding_end","nonbreeding_quality","nonbreeding_range_modeled","nonbreeding_start","nonbreeding_end","postbreeding_migration_quality","postbreeding_migration_range_modeled","postbreeding_migration_start","postbreeding_migration_end","prebreeding_migration_quality","prebreeding_migration_range_modeled","prebreeding_migration_start","prebreeding_migration_end","resident_quality","resident_start","resident_end"
"grerhe1","Rhea americana","Greater Rhea",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",2021-01-04,2021-12-28
"higtin1","Nothocercus bonapartei","Highland Tinamou",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",2021-01-04,2021-12-28
"gretin1","Tinamus major","Great Tinamou",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",2021-01-04,2021-12-28
"littin1","Crypturellus soui","Little Tinamou",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2021-01-04,2021-12-28
"pabtin1","Crypturellus transfasciatus","Pale-browed Tinamou",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2021-01-04,2021-12-28
"slbtin1","Crypturellus boucardi","Slaty-breasted Tinamou",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",2021-01-04,2021-12-28
"thitin1","Crypturellus cinnamomeus","Thicket Tinamou",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",2021-01-04,2021-12-28
"rewtin1","Rhynchotus rufescens","Red-winged Tinamou",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2021-01-04,2021-12-28
"andtin1","Nothoprocta pentlandii","Andean Tinamou",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",2021-01-04,2021-12-28
"sponot1","Nothura maculosa","Spotted Nothura",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",2021-01-04,2021-12-28
"sobkiw1","Apteryx australis","Southern Brown Kiwi",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",2021-01-04,2021-12-28
"liskiw1","Apteryx owenii","Little Spotted Kiwi",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",2021-01-04,2021-12-28
"souscr1","Chauna torquata","Southern Screamer",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2021-01-04,2021-12-28
"wfwduc1","Dendrocygna viduata","White-faced Whistling-Duck",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",2021-01-04,2021-12-28
"bbwduc","Dendrocygna autumnalis","Black-bellied Whistling-Duck",FALSE,"3","TRUE",2021-05-24,2021-08-03,"3","TRUE",2021-01-18,2021-03-01,"3","TRUE",2021-08-10,2021-01-11,"3","TRUE",2021-03-08,2021-05-17,NA,NA,NA
"wiwduc1","Dendrocygna arborea","West Indian Whistling-Duck",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",2021-01-04,2021-12-28
"fuwduc","Dendrocygna bicolor","Fulvous Whistling-Duck",FALSE,"2","FALSE",2021-05-10,2021-08-17,"2","FALSE",2021-11-30,2021-02-15,"2","FALSE",2021-08-24,2021-11-23,"2","FALSE",2021-02-22,2021-05-03,NA,NA,NA
"lewduc1","Dendrocygna javanica","Lesser Whistling-Duck",FALSE,"1","TRUE",2021-05-31,2021-08-17,"2","TRUE",2021-11-23,2021-03-08,"2","TRUE",2021-08-24,2021-11-16,"2","TRUE",2021-03-15,2021-05-24,NA,NA,NA
"bahgoo","Anser indicus","Bar-headed Goose",FALSE,"1","FALSE",2021-06-07,2021-07-27,"2","TRUE",2021-12-14,2021-03-22,"1","FALSE",2021-08-03,2021-12-07,"1","FALSE",2021-03-29,2021-05-31,NA,NA,NA
"empgoo","Anser canagicus","Emperor Goose",FALSE,"2","TRUE",2021-06-14,2021-06-14,"2","FALSE",2021-10-26,2021-04-19,"2","FALSE",2021-09-07,2021-10-19,"2","FALSE",2021-04-26,2021-05-31,NA,NA,NA
"snogoo","Anser caerulescens","Snow Goose",FALSE,"3","TRUE",2021-06-07,2021-08-03,"3","TRUE",2021-12-28,2021-01-11,"3","TRUE",2021-08-17,2021-12-21,"3","TRUE",2021-01-18,2021-05-31,NA,NA,NA
"rosgoo","Anser rossii","Ross's Goose",FALSE,"2","TRUE",2021-06-14,2021-07-06,"3","TRUE",2021-12-21,2021-01-18,"2","TRUE",2021-08-24,2021-12-07,"3","TRUE",2021-01-25,2021-06-07,NA,NA,NA
"gragoo","Anser anser","Graylag Goose",FALSE,"2","TRUE",2021-05-24,2021-08-17,"2","TRUE",2021-12-14,2021-01-25,"2","TRUE",2021-08-24,2021-12-07,"2","TRUE",2021-02-01,2021-05-17,NA,NA,NA
"gwfgoo","Anser albifrons","Greater White-fronted Goose",FALSE,"2","FALSE",2021-06-07,2021-07-27,"3","TRUE",2021-12-14,2021-01-18,"2","FALSE",2021-08-03,2021-12-07,"2","FALSE",2021-01-25,2021-05-31,NA,NA,NA
"taibeg1","Anser fabalis","Taiga Bean-Goose",FALSE,"1","FALSE",2021-06-14,2021-07-06,"0","FALSE",NA,NA,"2","FALSE",2021-07-13,2021-12-14,"1","FALSE",2021-01-25,2021-06-07,NA,NA,NA
"pifgoo","Anser brachyrhynchus","Pink-footed Goose",FALSE,"2","TRUE",2021-06-07,2021-07-13,"3","TRUE",2021-11-30,2021-02-22,"2","TRUE",2021-09-14,2021-11-23,"2","TRUE",2021-03-01,2021-05-10,NA,NA,NA
"brant","Branta bernicla","Brant",FALSE,"2","FALSE",2021-06-14,2021-08-24,"2","FALSE",2021-12-07,2021-02-08,"2","FALSE",2021-08-31,2021-11-30,"2","FALSE",2021-02-15,2021-06-07,NA,NA,NA
"bargoo","Branta leucopsis","Barnacle Goose",FALSE,"2","TRUE",2021-06-21,2021-06-28,"3","TRUE",2021-12-28,2021-03-01,"2","TRUE",2021-09-07,2021-12-21,"2","TRUE",2021-03-08,2021-05-03,NA,NA,NA
"cacgoo1","Branta hutchinsii","Cackling Goose",FALSE,"3","TRUE",2021-06-07,2021-07-27,"3","TRUE",2021-01-04,2021-01-25,"3","TRUE",2021-08-03,2021-12-28,"3","TRUE",2021-02-01,2021-05-31,NA,NA,NA
"cangoo","Branta canadensis","Canada Goose",FALSE,"3","TRUE",2021-05-17,2021-08-03,"3","TRUE",2021-12-14,2021-01-18,"3","TRUE",2021-08-17,2021-12-07,"3","TRUE",2021-01-25,2021-05-10,NA,NA,NA
"rebgoo1","Branta ruficollis","Red-breasted Goose",FALSE,"0","FALSE",NA,NA,"2","FALSE",2021-12-28,2021-02-22,"1","FALSE",2021-10-05,2021-12-21,"1","FALSE",2021-03-01,2021-05-17,NA,NA,NA
"mutswa","Cygnus olor","Mute Swan",FALSE,"2","FALSE",2021-03-08,2021-09-14,"2","FALSE",2021-12-07,2021-01-11,"2","FALSE",2021-09-21,2021-11-30,"2","FALSE",2021-01-18,2021-03-01,NA,NA,NA
"blkswa","Cygnus atratus","Black Swan",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",2021-01-04,2021-12-28
"blnswa2","Cygnus melancoryphus","Black-necked Swan",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2021-01-04,2021-12-28
"truswa","Cygnus buccinator","Trumpeter Swan",FALSE,"3","TRUE",2021-05-17,2021-09-07,"3","TRUE",2021-12-07,2021-02-15,"3","TRUE",2021-09-14,2021-11-30,"3","TRUE",2021-02-22,2021-05-10,NA,NA,NA
"tunswa","Cygnus columbianus","Tundra Swan",FALSE,"2","FALSE",2021-06-07,2021-08-10,"3","TRUE",2021-12-28,2021-02-15,"2","FALSE",2021-08-17,2021-12-21,"2","FALSE",2021-02-22,2021-05-31,NA,NA,NA
"whoswa","Cygnus cygnus","Whooper Swan",FALSE,"1","FALSE",2021-05-31,2021-08-24,"1","TRUE",2021-12-28,2021-02-15,"1","FALSE",2021-08-31,2021-12-21,"1","FALSE",2021-02-22,2021-05-24,NA,NA,NA
"cosswa1","Coscoroba coscoroba","Coscoroba Swan",FALSE,"3","TRUE",2021-11-16,2021-01-18,"3","TRUE",2021-06-07,2021-08-31,"3","TRUE",2021-01-25,2021-05-24,"3","TRUE",2021-09-07,2021-11-09,NA,NA,NA
"origoo1","Oressochen jubatus","Orinoco Goose",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",2021-01-04,2021-12-28
"andgoo1","Oressochen melanopterus","Andean Goose",FALSE,"2","TRUE",2021-11-16,2021-03-15,"3","TRUE",2021-05-24,2021-09-14,"2","TRUE",2021-03-22,2021-05-17,"2","TRUE",2021-09-21,2021-11-09,NA,NA,NA
"uplgoo1","Chloephaga picta","Upland Goose",FALSE,"3","TRUE",2021-10-12,2021-02-22,"3","TRUE",2021-06-14,2021-07-20,"3","TRUE",2021-03-08,2021-05-10,"3","TRUE",2021-07-27,2021-10-05,NA,NA,NA
"ashgoo1","Chloephaga poliocephala","Ashy-headed Goose",FALSE,"2","TRUE",2021-12-07,2021-02-01,"2","TRUE",2021-06-07,2021-08-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"egygoo","Alopochen aegyptiaca","Egyptian Goose",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",2021-01-04,2021-12-28
"parshe1","Tadorna variegata","Paradise Shelduck",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2021-01-04,2021-12-28
"comshe","Tadorna tadorna","Common Shelduck",FALSE,"2","FALSE",2021-05-31,2021-08-31,"2","FALSE",2021-12-21,2021-03-15,"2","FALSE",2021-09-07,2021-12-14,"2","FALSE",2021-03-22,2021-05-24,NA,NA,NA
"spwgoo1","Plectropterus gambensis","Spur-winged Goose",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",2021-01-04,2021-12-28
"flystd1","Tachyeres patachonicus","Flying Steamer-Duck",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",2021-01-04,2021-12-28
