"species_code","scientific_name","common_name","is_resident","breeding_quality","breeding_start","breeding_end","nonbreeding_quality","nonbreeding_start","nonbreeding_end","postbreeding_migration_quality","postbreeding_migration_start","postbreeding_migration_end","prebreeding_migration_quality","prebreeding_migration_start","prebreeding_migration_end","resident_quality","resident_start","resident_end","has_trends","trends_season","trends_region","trends_start_year","trends_end_year","trends_start_date","trends_end_date","rsquared","beta0"
"abetow","Melozone aberti","Abert's Towhee",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2022-01-04,2022-12-27,TRUE,"resident","north_america",2012,2022,"01-25","05-10",0.923182050289446,-0.0139230117935927
"acafly","Empidonax virescens","Acadian Flycatcher",FALSE,"3",2022-05-24,2022-08-02,"3",2022-12-06,2022-02-15,"3",2022-08-09,2022-11-29,"3",2022-02-22,2022-05-17,NA,NA,NA,TRUE,"breeding","north_america",2012,2022,"05-24","08-02",0.857036277909237,0.689424791802831
"acowoo","Melanerpes formicivorus","Acorn Woodpecker",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2022-01-04,2022-12-27,TRUE,"resident","north_america",2011,2021,"11-01","05-03",0.880536701868508,-0.0926707136000912
"affeag1","Icthyophaga vocifer","African Fish-Eagle",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",2022-01-04,2022-12-27,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
"aldfly","Empidonax alnorum","Alder Flycatcher",FALSE,"3",2022-06-21,2022-07-12,"1",2022-11-15,2022-03-29,"3",2022-07-19,2022-11-08,"3",2022-04-05,2022-06-14,NA,NA,NA,TRUE,"breeding","north_america",2012,2022,"06-21","07-12",0.786872287626564,-0.162412757176727
"alepar2","Psittacula eupatria","Alexandrine Parakeet",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",2022-01-04,2022-12-27,TRUE,"resident","india_se_asia",2015,2022,"07-26","12-06",0.819570183768428,0.319039549527436
"aleter1","Onychoprion aleuticus","Aleutian Tern",FALSE,"1",2022-06-28,2022-08-02,"1",2022-10-04,2022-10-18,"1",2022-08-09,2022-09-13,"2",2022-04-12,2022-06-07,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
"allhum","Selasphorus sasin","Allen's Hummingbird",FALSE,"3",2022-03-22,2022-06-07,"3",2022-09-06,2022-01-04,"3",2022-06-14,2022-08-30,"3",2022-01-11,2022-03-15,NA,NA,NA,TRUE,"breeding","north_america",2012,2022,"03-22","06-07",0.909420010489714,-0.117003382518156
"altori","Icterus gularis","Altamira Oriole",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2022-01-04,2022-12-27,TRUE,"resident","north_america",2011,2021,"10-04","05-10",0.851929064512849,0.165058327136887
"ambduc","Anas rubripes","American Black Duck",FALSE,"2",2022-05-24,2022-07-12,"3",2022-12-13,2022-02-15,"2",2022-07-19,2022-12-06,"2",2022-02-22,2022-05-17,NA,NA,NA,TRUE,"nonbreeding","north_america",2011,2021,"12-13","02-15",0.797389318046478,-0.0037932123834704
"ameavo","Recurvirostra americana","American Avocet",FALSE,"3",2022-05-10,2022-06-21,"3",2022-12-20,2022-01-25,"3",2022-06-28,2022-12-13,"3",2022-02-01,2022-05-03,NA,NA,NA,TRUE,"breeding","north_america",2012,2022,"05-10","06-21",0.699910423168215,0.11201728191917
"amebit","Botaurus lentiginosus","American Bittern",FALSE,"3",2022-06-07,2022-07-26,"3",2022-11-29,2022-02-15,"3",2022-08-02,2022-11-22,"3",2022-02-22,2022-05-31,NA,NA,NA,TRUE,"breeding","north_america",2012,2022,"06-07","07-26",0.797730115168891,0.0132591962098049
"amecro","Corvus brachyrhynchos","American Crow",FALSE,"3",2022-05-10,2022-07-05,"3",2022-12-06,2022-01-25,"3",2022-07-12,2022-11-29,"3",2022-02-01,2022-05-03,NA,NA,NA,TRUE,"breeding","north_america",2012,2022,"05-10","07-05",0.896049575792236,0.0239554128447472
"amedip","Cinclus mexicanus","American Dipper",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2022-01-04,2022-12-27,TRUE,"resident","north_america",2012,2022,"05-03","07-26",0.80392943192059,-0.132202426966769
"amegfi","Spinus tristis","American Goldfinch",FALSE,"3",2022-05-31,2022-08-23,"3",2022-12-06,2022-03-22,"3",2022-08-30,2022-11-29,"3",2022-03-29,2022-05-24,NA,NA,NA,TRUE,"breeding","north_america",2012,2022,"05-31","08-23",0.848674038713044,-0.131309286810585
"amekes","Falco sparverius","American Kestrel",FALSE,"3",2022-05-17,2022-08-09,"3",2022-11-15,2022-02-22,"3",2022-08-16,2022-11-08,"3",2022-03-01,2022-05-10,NA,NA,NA,TRUE,"breeding","north_america",2012,2022,"05-17","08-09",0.877223181086762,0.891073573952645
"ameoys","Haematopus palliatus","American Oystercatcher",FALSE,"3",2022-05-10,2022-07-26,"3",2022-11-22,2022-02-22,"3",2022-08-02,2022-11-15,"3",2022-03-01,2022-05-03,NA,NA,NA,TRUE,"breeding","north_america",2012,2022,"05-10","07-26",0.769602050783062,0.833567678707193
"amepip","Anthus rubescens","American Pipit",FALSE,"2",2022-06-07,2022-07-26,"2",2022-12-20,2022-02-08,"2",2022-08-02,2022-12-13,"2",2022-02-15,2022-05-31,NA,NA,NA,TRUE,"nonbreeding","north_america",2011,2021,"12-20","02-08",0.792779024189449,0.602865927827697
"amered","Setophaga ruticilla","American Redstart",FALSE,"3",2022-06-21,2022-07-12,"3",2022-11-29,2022-03-22,"3",2022-07-19,2022-11-22,"3",2022-03-29,2022-06-14,NA,NA,NA,TRUE,"breeding","north_america",2012,2022,"06-21","07-12",0.83489923597879,-0.106598670027909
"amerob","Turdus migratorius","American Robin",FALSE,"3",2022-05-24,2022-08-09,"3",2022-12-06,2022-02-01,"3",2022-08-16,2022-11-29,"3",2022-02-08,2022-05-17,NA,NA,NA,TRUE,"breeding","north_america",2012,2022,"05-24","08-09",0.90065617208907,-0.18028512521149
"amewig","Mareca americana","American Wigeon",FALSE,"3",2022-05-31,2022-08-02,"3",2022-12-13,2022-01-18,"3",2022-08-09,2022-12-06,"3",2022-01-25,2022-05-24,NA,NA,NA,TRUE,"nonbreeding","north_america",2011,2021,"12-13","01-18",0.721910116363246,0.18371985500187
"amewoo","Scolopax minor","American Woodcock",FALSE,"3",2022-05-17,2022-09-13,"3",2022-12-20,2022-01-11,"3",2022-09-20,2022-12-13,"3",2022-01-18,2022-05-10,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
"amgplo","Pluvialis dominica","American Golden-Plover",FALSE,"3",2022-06-14,2022-07-05,"3",2022-12-06,2022-02-15,"3",2022-07-12,2022-11-29,"3",2022-02-22,2022-06-07,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
"amtspa","Spizelloides arborea","American Tree Sparrow",FALSE,"3",2022-06-28,2022-08-09,"3",2022-12-13,2022-02-15,"3",2022-09-20,2022-12-06,"3",2022-02-22,2022-05-17,NA,NA,NA,TRUE,"nonbreeding","north_america",2011,2021,"12-13","02-15",0.862212644141697,0.499984121324192
"amwpel","Pelecanus erythrorhynchos","American White Pelican",FALSE,"3",2022-05-31,2022-08-09,"3",2022-12-20,2022-02-15,"3",2022-08-16,2022-12-06,"3",2022-02-22,2022-05-24,NA,NA,NA,TRUE,"breeding","north_america",2012,2022,"05-31","08-09",0.745174769165444,0.149608077367295
"andcon1","Vultur gryphus","Andean Condor",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2022-01-04,2022-12-27,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
"andgoo1","Oressochen melanopterus","Andean Goose",FALSE,"2",2022-11-08,2022-03-01,"2",2022-03-08,2022-11-01,"0",NA,NA,"0",NA,NA,NA,NA,NA,TRUE,"nonbreeding","south_america",2015,2022,"03-08","11-01",0.452451598852126,0.48317084881678
"andsol1","Myadestes ralloides","Andean Solitaire",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2022-01-04,2022-12-27,TRUE,"resident","south_america",2015,2022,"06-07","12-27",0.685939184051472,1.35252375491073
"anhing","Anhinga anhinga","Anhinga",FALSE,"3",2022-05-03,2022-07-19,"3",2022-11-08,2022-02-01,"3",2022-07-26,2022-11-01,"3",2022-02-08,2022-04-26,NA,NA,NA,TRUE,"breeding","north_america",2012,2022,"05-03","07-19",0.754442521207522,0.293319918127798
"annhum","Calypte anna","Anna's Hummingbird",FALSE,"3",2022-01-25,2022-05-03,"3",2022-06-14,2022-08-30,"3",2022-05-10,2022-06-07,"3",2022-09-06,2022-01-18,NA,NA,NA,TRUE,"breeding","north_america",2012,2022,"01-25","05-03",0.939313486135901,0.211661417002748
"antnig","Chordeiles gundlachii","Antillean Nighthawk",FALSE,"3",2022-05-10,2022-08-09,"0",NA,NA,"0",NA,NA,"1",2022-03-29,2022-05-03,NA,NA,NA,TRUE,"breeding","north_america",2012,2022,"05-10","08-09",0.741612272261446,0.867765396862881
"aplfal","Falco femoralis","Aplomado Falcon",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2022-01-04,2022-12-27,TRUE,"resident","south_america",2015,2022,"01-25","05-10",0.563239187192641,1.00835520620958
"arcter","Sterna paradisaea","Arctic Tern",FALSE,"3",2022-06-14,2022-06-28,"0",NA,NA,"1",2022-08-30,2022-10-25,"1",2022-04-05,2022-06-07,NA,NA,NA,TRUE,"breeding","north_america",2012,2022,"06-14","06-28",0.457021697178827,1.20259128150854
"ariwoo","Dryobates arizonae","Arizona Woodpecker",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2022-01-04,2022-12-27,TRUE,"resident","north_america",2011,2021,"12-06","05-31",0.755981869339961,-1.36453608840113
"ascspl1","Eremopterix griseus","Ashy-crowned Sparrow-Lark",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2022-01-04,2022-12-27,TRUE,"resident","india_se_asia",2015,2022,"08-09","10-04",0.720974550050471,1.15027906219799
"asfblu1","Irena puella","Asian Fairy-bluebird",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2022-01-04,2022-12-27,TRUE,"resident","india_se_asia",2014,2021,"11-29","03-15",0.688048085462743,1.3745448958907
"ashpri1","Prinia socialis","Ashy Prinia",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2022-01-04,2022-12-27,TRUE,"resident","india_se_asia",2015,2022,"06-21","10-04",0.8598449449249,0.409473816400189
"asikoe2","Eudynamys scolopaceus","Asian Koel",FALSE,"3",2022-05-17,2022-07-26,"2",2022-11-01,2022-01-25,"2",2022-08-02,2022-10-25,"2",2022-02-01,2022-05-10,NA,NA,NA,TRUE,"breeding","india_se_asia",2015,2022,"05-17","07-26",0.874459217123499,0.195152028443815
