"Scientific Name","Common Name","Where Listed","Region  ","ESA Listing Status  ","Group"
"Nerodia clarkii taeniata","Atlantic salt marsh snake","Wherever found","4","Threatened","Reptiles"
"Drosophila differens","Hawaiian picture-wing fly","Wherever found","1","Endangered","Insects"
"Fusconaia cuneolus","Finerayed pigtoe","Wherever found; Except where listed as Experimental Populations","4","Endangered","Clams"
"Ammodramus savannarum floridanus","Florida grasshopper sparrow","Wherever found","4","Endangered","Birds"
"Corvus leucognaphalus","White-necked crow","Wherever found","4","Endangered","Birds"
"Xyrauchen texanus","Razorback sucker","Wherever found","6","Endangered","Fishes"
"Sorex ornatus relictus","Buena Vista Lake ornate Shrew","Wherever found","8","Endangered","Mammals"
"Corvus hawaiiensis","Hawaiian crow","Wherever found","1","Endangered","Birds"
"Medionidus acutissimus","Alabama moccasinshell","Wherever found","4","Threatened","Clams"
"Falco femoralis septentrionalis","Northern Aplomado Falcon","Wherever found, except where listed as an experimental population","2","Endangered","Birds"
"Fusconaia masoni","Atlantic pigtoe","Wherever found","4","Threatened","Clams"
"Pleurocera foremani","Rough hornsnail","Wherever found","4","Endangered","Snails"
"Eucyclogobius newberryi","Tidewater goby","Wherever found","8","Endangered","Fishes"
"Pyrgulopsis roswellensis","Roswell springsnail","Wherever found","2","Endangered","Snails"
"Gila nigrescens","Chihuahua chub","Wherever found","2","Threatened","Fishes"
"Chasmistes brevirostris","Shortnose Sucker","Wherever found","8","Endangered","Fishes"
"Palmeria dolei","`Akohekohe (crested honeycreeper)","Wherever found","1","Endangered","Birds"
"Cryptobranchus alleganiensis bishopi","Ozark Hellbender","Wherever found","3","Endangered","Amphibians"
"Glaucidium brasilianum cactorum","Cactus ferruginous pygmy-owl","Wherever found","2","Threatened","Birds"
"Noturus placidus","Neosho madtom","Wherever found","6","Threatened","Fishes"
"Cyprinodon diabolis","Devils Hole pupfish","Wherever found","8","Endangered","Fishes"
"Partulina semicarinata","Lanai tree snail","Wherever found","1","Endangered","Snails"
"Crotalus willardi obscurus","New Mexican ridge-nosed rattlesnake","Wherever found","2","Threatened","Reptiles"
"Speyeria zerene hippolyta","Oregon silverspot butterfly","Wherever found","1","Threatened","Insects"
"Eleutherodactylus cooki","Guajon","Wherever found","4","Threatened","Amphibians"
"Euphilotes battoides allyni","El Segundo blue butterfly","Wherever found","8","Endangered","Insects"
"Catostomus discobolus yarrowi","Zuni bluehead Sucker","Wherever found","2","Endangered","Fishes"
"Dromus dromas","Dromedary pearlymussel","AL; Free-Flowing Reach of the Tennessee River below the Wilson Dam, Colbert and Lauderdale Counties, AL","4","Experimental Population, Non-Essential","Clams"
"Speyeria nokomis nokomis","Silverspot","Wherever found","6","Threatened","Insects"
"Notropis albizonatus","Palezone shiner","Wherever found","4","Endangered","Fishes"
