component,term,estimate,std.error,statistic,p.value,model_id,type
mean,(Intercept),-0.39,0.26,-1.51,0.13,morphology,breeding
mean,Beak.Length_Culmen,-0,0.01,-0.36,0.72,morphology,breeding
mean,Beak.Depth,-0.04,0.02,-2.25,0.02,morphology,breeding
mean,Tarsus.Length,0.01,0.01,0.84,0.4,morphology,breeding
mean,Kipps.Distance,-0,0,-0.38,0.7,morphology,breeding
mean,Secondary1,0,0,0.85,0.4,morphology,breeding
mean,Hand.Wing.Index,0,0.01,0.33,0.74,morphology,breeding
mean,Tail.Length,-0,0,-1.14,0.25,morphology,breeding
mean,log(Mass),-0.01,0.06,-0.12,0.91,morphology,breeding
precision,(phi),24.81,3.46,7.17,0,morphology,breeding
mean,(Intercept),-0.1,0.14,-0.76,0.45,habitat,breeding
mean,Habitat.Density,-0.21,0.09,-2.41,0.02,habitat,breeding
mean,HabitatGrassland,0.15,0.28,0.53,0.59,habitat,breeding
mean,HabitatRiverine,0.46,0.43,1.08,0.28,habitat,breeding
mean,HabitatRock,-0.07,0.3,-0.22,0.83,habitat,breeding
mean,HabitatShrubland,0.07,0.12,0.63,0.53,habitat,breeding
mean,HabitatWetland,0.45,0.32,1.41,0.16,habitat,breeding
mean,HabitatWoodland,0.09,0.15,0.61,0.54,habitat,breeding
precision,(phi),24.19,3.37,7.17,0,habitat,breeding
mean,(Intercept),-0.41,0.46,-0.9,0.37,llifestyle,breeding
mean,Migration,0.03,0.05,0.72,0.47,llifestyle,breeding
mean,Trophic.NicheGranivore,-0.05,0.42,-0.12,0.91,llifestyle,breeding
mean,Trophic.NicheHerbivore terrestrial,-0.11,0.46,-0.24,0.81,llifestyle,breeding
mean,Trophic.NicheInvertivore,-0.01,0.42,-0.02,0.98,llifestyle,breeding
mean,Trophic.NicheNectarivore,-0.05,0.5,-0.09,0.93,llifestyle,breeding
mean,Trophic.NicheOmnivore,-0.1,0.41,-0.23,0.82,llifestyle,breeding
mean,Trophic.NicheScavenger,-0.36,0.61,-0.59,0.56,llifestyle,breeding
mean,Trophic.NicheVertivore,0.09,0.47,0.2,0.84,llifestyle,breeding
mean,Primary.LifestyleAquatic,0.02,0.54,0.04,0.97,llifestyle,breeding
mean,Primary.LifestyleGeneralist,0.1,0.23,0.43,0.67,llifestyle,breeding
mean,Primary.LifestyleInsessorial,-0.06,0.21,-0.27,0.79,llifestyle,breeding
mean,Primary.LifestyleTerrestrial,-0.3,0.26,-1.17,0.24,llifestyle,breeding
precision,(phi),25.53,3.56,7.17,0,llifestyle,breeding
mean,(Intercept),-0.25,0.37,-0.67,0.5,morphology,nonbreeding
mean,Beak.Length_Culmen,0.01,0.01,1.04,0.3,morphology,nonbreeding
mean,Beak.Depth,-0.07,0.02,-3.19,0,morphology,nonbreeding
mean,Tarsus.Length,-0.01,0.01,-0.73,0.47,morphology,nonbreeding
mean,Kipps.Distance,0,0.01,0.25,0.8,morphology,nonbreeding
mean,Secondary1,0,0.01,0.56,0.58,morphology,nonbreeding
mean,Hand.Wing.Index,-0,0.01,-0.15,0.88,morphology,nonbreeding
mean,Tail.Length,-0,0,-0.4,0.69,morphology,nonbreeding
mean,log(Mass),0.01,0.07,0.17,0.86,morphology,nonbreeding
precision,(phi),22.81,3.98,5.73,0,morphology,nonbreeding
mean,(Intercept),-0.32,0.2,-1.58,0.12,habitat,nonbreeding
mean,Habitat.Density,-0.14,0.13,-1.08,0.28,habitat,nonbreeding
mean,HabitatGrassland,0.37,0.35,1.08,0.28,habitat,nonbreeding
mean,HabitatRiverine,0.48,0.5,0.95,0.34,habitat,nonbreeding
mean,HabitatShrubland,0.22,0.18,1.21,0.23,habitat,nonbreeding
mean,HabitatWetland,0.3,0.51,0.59,0.55,habitat,nonbreeding
mean,HabitatWoodland,0.11,0.2,0.58,0.56,habitat,nonbreeding
precision,(phi),19.01,3.31,5.75,0,habitat,nonbreeding
