species_code,scientific_name,data_year,type,percent_forested_population,percent_global_population
flaowl,Psiloscops flammeolus,2022,breeding,0.68765333305963106,0.5939199136787001
whhwoo,Dryobates albolarvatus,2022,resident,0.43518363828727413,0.3913880210260511
wilsap,Sphyrapicus thyroideus,2022,breeding,0.4116505159030374,0.3578407511524373
bcrfin,Leucosticte australis,2022,nonbreeding,0.40360632379741396,0.35588879660483524
mouqua,Oreortyx pictus,2022,resident,0.4230285121400067,0.3438279533872006
virwar,Leiothlypis virginiae,2022,breeding,0.4645370556075352,0.31117064251630944
herwar,Setophaga occidentalis,2022,breeding,0.395706210207807,0.2925852640429129
wrenti,Chamaea fasciata,2022,resident,0.4741722347445935,0.28717580108563795
casfin,Haemorhous cassinii,2022,breeding,0.42741494186526746,0.2796786046964634
mouchi,Poecile gambeli,2022,breeding,0.4472282229701698,0.27435789371498326
bkrfin,Leucosticte atrata,2022,nonbreeding,0.4087103091404497,0.2693103019676168
clanut,Nucifraga columbiana,2022,resident,0.4779821919566636,0.26190445254919065
mouchi,Poecile gambeli,2022,nonbreeding,0.4530526589460284,0.2571236464534156
dusgro,Dendragapus obscurus,2022,resident,0.5101488331451953,0.2549859721649277
rensap,Sphyrapicus nuchalis,2022,breeding,0.4692217227774382,0.25269524257365633
calhum,Selasphorus calliope,2022,breeding,0.37208678046217974,0.24626948630003132
casvir,Vireo cassinii,2022,breeding,0.39639544266803356,0.24259659151773671
lawgol,Spinus lawrencei,2022,breeding,0.5090691614082073,0.23566588852369127
brthum,Selasphorus platycercus,2022,breeding,0.40305676859949086,0.23329053701766736
oaktit,Baeolophus inornatus,2022,resident,0.4699663117715547,0.23141352716472444
westan,Piranga ludoviciana,2022,breeding,0.44152655713378325,0.2311140995406673
dusfly,Empidonax oberholseri,2022,breeding,0.4401883827815362,0.23081334373872386
calthr,Toxostoma redivivum,2022,resident,0.5398648976232486,0.2239478232406132
pygnut,Sitta pygmaea,2022,resident,0.30348688397565826,0.22314545859483886
spoowl,Strix occidentalis,2022,resident,0.39228499437002234,0.2231307611496308
corfly,Empidonax difficilis occidentalis/hellmayri,2021,breeding,0.41619902107256274,0.21802400108929026
gnttow,Pipilo chlorurus,2022,breeding,0.41303498994060056,0.2178897593639268
macwar,Geothlypis tolmiei,2022,breeding,0.47853415163816887,0.21311049352585879
stejay,Cyanocitta stelleri,2022,resident,0.3990473635665966,0.20502291984745702
bcrfin,Leucosticte australis,2022,breeding,0.34628969838725426,0.19410436555213242
batpig1,Patagioenas fasciata,2022,nonbreeding,0.5214676303324488,0.19123273088393952
casfin,Haemorhous cassinii,2022,nonbreeding,0.34848492943590875,0.190531867837875
caltow,Melozone crissalis,2022,resident,0.4686947405463232,0.18193792385873717
refwar,Cardellina rubrifrons,2022,breeding,0.3297845351879841,0.17979513738056982
nopowl,Glaucidium gnoma,2022,resident,0.43239670941339864,0.17514536577050444
bkrfin,Leucosticte atrata,2022,breeding,0.2839875499516846,0.17425300090366058
nutwoo,Dryobates nuttallii,2022,resident,0.4992245133341226,0.17368943061000613
annhum,Calypte anna,2022,nonbreeding,0.4895276070475972,0.16620770505129656
cowscj1,Aphelocoma californica,2022,resident,0.4400461750587745,0.15901193542403513
gcrfin,Leucosticte tephrocotis,2022,nonbreeding,0.3911843270232032,0.15900623698491667
wesblu,Sialia mexicana,2022,breeding,0.34368499223680676,0.15624560545449068
hamfly,Empidonax hammondii,2022,breeding,0.47732315171300727,0.15525558632344838
annhum,Calypte anna,2022,breeding,0.46112144107526887,0.1495165524215538
allhum,Selasphorus sasin,2022,breeding,0.35785364221545907,0.14858384304099326
moublu,Sialia currucoides,2022,breeding,0.4270497151975645,0.14808784180253134
lazbun,Passerina amoena,2022,breeding,0.3747202431245016,0.14788357700832638
towsol,Myadestes townsendi,2022,nonbreeding,0.42050099735014235,0.14527411732156564
evegro,Coccothraustes vespertinus,2022,breeding,0.5043347254023418,0.1435801843382083
plsvir,Vireo plumbeus,2022,breeding,0.3362020331089357,0.13151545414577298
bkhgro,Pheucticus melanocephalus,2022,breeding,0.37738714070368246,0.13138348912214087
wesfly,Empidonax difficilis,2022,breeding,0.4033709231199068,0.12953236876079413
amedip,Cinclus mexicanus,2022,resident,0.4279739308878149,0.12950808232868793
towsol,Myadestes townsendi,2022,breeding,0.45326357523605154,0.1294022189254478
